zeichen,kapitel,aussprache,aussprache_ohne_ton,ton,bedeutung,kategorie 1,kategorie 2,kategorie 3,HSK,grammatik
好,1,hǎo,hao,3,gut / sehr,Alltag,,,1,Adjektiv
你,1,nǐ,ni,3,du,Alltag,,,1,Pronomen
您,1,nín,nin,2,Sie (höflich),Alltag,,,1,Pronomen
吗,1,ma,ma,5,(Fragepartikel),Alltag,,,1,Partikel
我,1,wǒ,wo,3,ich,Alltag,,,1,Pronomen
很,1,hěn,hen,3,sehr,Alltag,,,1,Adverb
呢,1,ne,ne,5,(Fragepartikel),Alltag,,,1,Partikel
再见,1,zàijiàn,zaijian,4,auf Wiedersehen,Alltag,,,1,Ausdruck
忙,1,máng,mang,2,beschäftigt,Alltag,,,1,Adjektiv
累,1,lèi,lei,4,müde,Alltag,,,1,Adjektiv
饿,1,è,e,4,hungrig,Alltag,,,1,Adjektiv
渴,1,kě,ke,3,durstig,Alltag,,,1,Adjektiv
不,1,bù,bu,4,nicht,Alltag,,,1,Adverb
李莉,1,Lǐ Lì,li li,3,Li Li (Name),Name,Alltag,,1,Name
约翰,1,Yuēhàn,yuehan,1,Johann (Name),Name,Alltag,,1,Name
请问,2,qǐngwèn,qingwen,3,darf ich fragen,Alltag,,,1,Ausdruck
叫,2,jiào,jiao,4,heißen,Alltag,,,1,Verb
什么,2,shénme,shenme,2,was,Alltag,,,1,Fragewort
名字,2,míngzi,mingzi,2,Name,Alltag,,,1,Nomen
姓,2,xìng,xing,4,Nachname,Alltag,,,1,Nomen
贵,2,guì,gui,4,teuer,Alltag,,,1,Adjektiv
是,2,shì,shi,4,sein,Alltag,,,1,Verb
老师,2,lǎoshī,laoshi,3,Lehrer,Person,Schule,Beruf,1,Nomen
工程师,2,gōngchéngshī,gongchengshi,1,Ingenieur,Person,Beruf,,1,Nomen
他,2,tā,ta,1,er,Alltag,,,1,Pronomen
她,2,tā,ta,1,sie,Alltag,,,1,Pronomen
们,2,men,men,5,Plural-Suffix,Alltag,,,1,Partikel
秘书,2,mìshū,mishu,4,Sekretär,Person,Beruf,,1,Nomen
学生,2,xuésheng,xuesheng,2,Schüler,Schule,Person,,1,Nomen
介绍,2,jièshào,jieshao,4,vorstellen,Alltag,,,1,Verb
一下,2,yíxià,yixia,2,kurz,Alltag,,,1,Adverb
的,2,de,de,5,Partikel (Attribut),Alltag,,,1,Partikel
朋友,2,péngyou,pengyou,2,Freund,Alltag,Person,,1,Nomen
认识,2,rènshi,renshi,4,kennen,Alltag,,,1,Verb
高兴,2,gāoxìng,gaoxing,1,glücklich,Alltag,,,1,Adjektiv
也,2,yě,ye,3,auch,Alltag,,,1,Adverb
先生,2,xiānsheng,xiansheng,1,Herr,Alltag,Person,,1,Nomen
这,2,zhè,zhe,4,dies,Alltag,,,1,Pronomen
名片,2,míngpiàn,mingpian,2,Visitenkarte,Alltag,,,1,Nomen
谢谢,2,xièxie,xiexie,4,danke,Alltag,,,1,Ausdruck
学校,2,xuéxiào,xuexiao,2,Schule,Schule,Ort,Gebäude,1,Nomen
同学,2,tóngxué,tongxue,2,Mitschüler,Schule,Person,,1,Nomen
书,2,shū,shu,1,Buch,Alltag,,,1,Nomen
英国,3,Yīngguó,yingguo,1,England,Land,,,1,Nomen
国,3,guó,guo,2,Land,Alltag,,,1,Nomen
和,3,hé,he,2,und,Alltag,,,1,Konjunktion
法国,3,Fǎguó,faguo,3,Frankreich,Land,,,1,Nomen
西班牙,3,Xībānyá,xibanya,1,Spanien,Land,,,1,Nomen
希腊,3,Xīlà,xila,1,Griechenland,Land,,,1,Nomen
那,3,nà,na,4,jene,Alltag,,,1,Pronomen
意大利,3,Yìdàlì,yidali,4,Italien,Land,,,1,Nomen
中国,3,Zhōngguó,zhongguo,1,China,Land,,,1,Nomen
在,3,zài,zai,4,in/bei,Alltag,,,1,Präposition
家,3,jiā,jia,1,Zuhause,Alltag,,,1,Nomen
这儿,3,zhèr,zher,4,hier,Alltag,Ort,,1,Adverb
德国,3,Déguó,deguo,2,Deutschland,Land,,,1,Nomen
哪儿,3,nǎr,nar,3,wo,Alltag,,,1,Fragewort
美国,3,Měiguó,meiguo,3,USA,Land,,,1,Nomen
日本,3,Rìběn,riben,4,Japan,Land,,,1,Nomen
奥地利,3,Àodìlì,aodili,4,Österreich,Land,,,1,Nomen
瑞士,3,Ruìshì,ruishi,4,Schweiz,Land,,,1,Nomen
谁,3,shéi,shei,2,wer,Alltag,,,1,Fragewort
哪,3,nǎ,na,3,welche,Alltag,,,1,Fragewort
人,3,rén,ren,2,Mensch,Alltag,Person,,1,Nomen
德国人,3,Déguórén,deguoren,2,Deutscher,Land,Person,,1,Nomen
会,3,huì,hui,4,können,Alltag,,,1,Verb
说,3,shuō,shuo,1,sprechen,Alltag,,,1,Verb
汉语,3,Hànyǔ,hanyu,4,Chinesisch,Alltag,Sprache,,1,Nomen
一点儿,3,yìdiǎnr,yidianr,4,ein bisschen,Alltag,,,1,Adverb
日语,3,Rìyǔ,riyu,4,Japanisch,Alltag,Sprache,,1,Nomen
从,3,cóng,cong,2,von,Alltag,,,1,Präposition
来,3,lái,lai,2,kommen,Alltag,,,1,Verb
伦敦,3,Lúndūn,lundun,2,London,Ort,,,1,Nomen
哪里,3,nǎli,nali,3,wo,Alltag,,,1,Fragewort
北京,3,Běijīng,beijing,3,Peking,Ort,,,1,Nomen
大学,3,dàxué,daxue,4,Universität,Schule,Ort,Gebäude,1,Nomen
学习,3,xuéxí,xuexi,2,lernen,Alltag,,,1,Verb
柏林,3,Bólín,bolin,2,Berlin,Ort,,,1,Nomen
上海,3,Shànghǎi,shanghai,4,Shanghai,Ort,,,1,Nomen
公司,3,gōngsī,gongsi,1,Firma,Alltag,Ort,,1,Nomen
工作,3,gōngzuò,gongzuo,1,arbeiten,Alltag,,,1,Verb
现在,4,xiànzài,xianzai,4,jetzt,Alltag,,,1,Adverb
几,4,jǐ,ji,3,wie viele,Alltag,,,1,Fragewort
点,4,diǎn,dian,3,Uhr,Alltag,,,1,Nomen
点钟,4,diǎnzhōng,dianzhong,3,Uhrzeit,Alltag,,,1,Nomen
半,4,bàn,ban,4,halb,Alltag,,,1,Adjektiv
对不起,4,duìbuqǐ,duibuqi,4,Entschuldigung,Alltag,,,1,Ausdruck
请,4,qǐng,qing,3,bitten,Alltag,,,1,Verb
再,4,zài,zai,4,wieder,Alltag,,,1,Adverb
遍,4,biàn,bian,4,Mal,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
中午,4,zhōngwǔ,zhongwu,1,Mittag,Alltag,Zeit,,1,Nomen
分,4,fēn,fen,1,Minute,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
分钟,4,fēnzhōng,fenzhong,1,Minuten,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
不客气,4,bù kèqi,bu keqi,2,gern geschehen,Alltag,Ausdruck,,1,Ausdruck
有,4,yǒu,you,3,haben,Alltag,,,1,Verb
没,4,méi,mei,2,nicht haben,Alltag,,,1,Verb
今天,4,jīntiān,jintian,1,heute,Alltag,Zeit,,1,Nomen
明天,4,míngtiān,mingtian,2,morgen,Alltag,Zeit,,1,Nomen
昨天,4,zuótiān,zuotian,2,gestern,Alltag,Zeit,,1,Nomen
下午,4,xiàwǔ,xiawu,4,Nachmittag,Alltag,Zeit,,1,Nomen
上午,4,shàngwǔ,shangwu,4,Vormittag,Alltag,Zeit,,1,Nomen
刻,4,kè,ke,4,Viertelstunde,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
咖啡馆,4,kāfēiguǎn,kafeiguan,1,Café,Alltag,Ort,,1,Nomen
咖啡,4,kāfēi,kafei,1,Kaffee,Alltag,,,1,Nomen
等,4,děng,deng,3,warten,Alltag,,,1,Verb
跟,4,gēn,gen,1,mit,Alltag,,,1,Präposition
约会,4,yuēhuì,yuehui,1,verabreden,Alltag,,,1,Verb
还,4,hái,hai,2,noch,Alltag,,,1,Adverb
时间,4,shíjiān,shijian,2,Zeit,Alltag,,,1,Nomen
号,4,hào,hao,4,Tag (Datum),Alltag,Zeit,,1,Nomen
星期,4,xīngqī,xingqi,1,Woche,Alltag,Zeit,,1,Nomen
年,4,nián,nian,2,Jahr,Alltag,Zeit,,1,Nomen
月,4,yuè,yue,4,Monat,Alltag,Zeit,,1,Nomen
日,4,rì,ri,4,Tag,Alltag,Zeit,,1,Nomen
知道,4,zhīdào,zhidao,1,wissen,Alltag,,,1,Verb
要,4,yào,yao,4,wollen,Alltag,,,1,Verb
想,4,xiǎng,xiang,3,möchten,Alltag,,,1,Verb
看,4,kàn,kan,4,sehen,Alltag,,,1,Verb
看见,4,kànjiàn,kanjian,4,sehen,Alltag,,,1,Verb
日历,4,rìlì,rili,4,Kalender,Alltag,,,1,Nomen
晚上,4,wǎnshàng,wanshang,3,Abend,Alltag,Zeit,,1,Nomen
一起,4,yìqǐ,yiqi,4,zusammen,Alltag,,,1,Adverb
去,4,qù,qu,4,gehen,Alltag,,,1,Verb
电影,4,diànyǐng,dianying,3,Film,Alltag,,,1,Nomen
漂亮,4,piàoliang,piaoliang,4,schön,Alltag,,,1,Adjektiv
女儿,4,nǚ'ér,nver,3,Tochter,Person,Familie,,1,Nomen
但是,4,dànshì,danshi,4,aber,Alltag,,,1,Konjunktion
吧,4,ba,ba,5,(Vorschlagpartikel),Alltag,,,1,Partikel
没关系,4,méi guānxi,mei guanxi,2,kein Problem,Alltag,Ausdruck,,1,Ausdruck
一,4,yī,yi,1,eins,Zahl,,,1,Zahlwort
二,4,èr,er,4,zwei,Zahl,,,1,Zahlwort
三,4,sān,san,1,drei,Zahl,,,1,Zahlwort
四,4,sì,si,4,vier,Zahl,,,1,Zahlwort
五,4,wǔ,wu,3,fünf,Zahl,,,1,Zahlwort
六,4,liù,liu,4,sechs,Zahl,,,1,Zahlwort
七,4,qī,qi,1,sieben,Zahl,,,1,Zahlwort
八,4,bā,ba,1,acht,Zahl,,,1,Zahlwort
九,4,jiǔ,jiu,3,neun,Zahl,,,1,Zahlwort
十,4,shí,shi,2,zehn,Zahl,,,1,Zahlwort
零,4,líng,ling,2,null,Zahl,,,1,Zahlwort
人,5,rén,ren,2,Mensch,Person,Alltag,,1,Nomen
钱,5,qián,qian,2,Geld,Alltag,,,1,Nomen
百,5,bǎi,bai,3,Hundert,Zahl,,,1,Zahlwort
欧元,5,ōuyuán,ouyuan,1,Euro,Geld,Alltag,,1,Nomen
元,5,yuán,yuan,2,Yuan (Währungseinheit),Zahl,Geld,Alltag,1,Nomen
块,5,kuài,kuai,4,Yuan (umgangssprachlich),Zähleinheitwörter (ZEW),Geld,,1,ZEW
角,5,jiǎo,jiao,3,Jiao (1/10 Yuan),Zähleinheitwörter (ZEW),Geld,,1,ZEW
毛,5,máo,mao,2,Mao (1/10 Yuan umgangssprachlich),Zähleinheitwörter (ZEW),Geld,,1,ZEW
分,5,fēn,fen,1,Cent/Fen (1/100 Yuan),Zähleinheitwörter (ZEW),Geld,,1,ZEW
空,5,kōng,kong,1,leer,Alltag,,,1,Adjektiv
房间,5,fángjiān,fangjian,2,Zimmer,Gebäude,,,1,Nomen
要,5,yào,yao,4,wollen,Alltag,,,1,Verb
单,5,dān,dan,1,einzeln,Alltag,,,1,Adjektiv
双,5,shuāng,shuang,1,Paar,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
还是,5,háishi,haishi,2,oder (in Fragesätzen),Alltag,,,1,Konjunktion
间,5,jiān,jian,1,ZEW für Räume,Zähleinheitwörter (ZEW),Gebäude,,1,ZEW
住,5,zhù,zhu,4,wohnen,Alltag,,,1,Verb
两,5,liǎng,liang,3,zwei (vor ZEW),Zahl,,,1,Zahlwort
天,5,tiān,tian,1,Tag,Zeit,Alltag,,1,Nomen
多少,5,duōshǎo,duoshao,1,wieviel,Alltag,,,1,Fragewort
几,5,jǐ,ji,3,wie viele,Zahl,,,1,Fragewort
千,5,qiān,qian,1,Tausend,Zahl,,,1,Zahlwort
这么,5,zhème,zheme,4,so (in dem Maße),Alltag,,,1,Adverb
个,5,gè,ge,4,ZEW für allgemein,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
能,5,néng,neng,2,können (fähig sein),Alltag,,,1,Verb
便宜,5,piányi,pianyi,2,billig,Alltag,,,1,Adjektiv
可以,5,kěyǐ,keyi,3,können/dürfen,Alltag,,,1,Verb
以上,5,yǐshàng,yishang,3,über …,Alltag,,,1,Adverb
一下,5,yíxià,yixia,2,kurz,Alltag,,,1,Adverb
行,5,xíng,xing,2,gehen/in Ordnung sein,Alltag,,,1,Verb
填,5,tián,tian,2,ausfüllen,Alltag,,,1,Verb
表格,5,biǎogé,biaoge,3,Formular,Alltag,,,1,Nomen
卡,5,kǎ,ka,3,Karte,Alltag,,,1,Nomen
喽,5,lou,lou,5,(Partikel zur Betonung),Alltag,,,1,Partikel
付钱,5,fùqián,fuqian,4,bezahlen,Alltag,Geld,,1,Verb
付,5,fù,fu,4,bezahlen,Alltag,Geld,,1,Verb
了,5,le,le,5,(Aspektpartikel),Alltag,,,1,Partikel
一共,5,yígòng,yigong,2,insgesamt,Alltag,,,1,Adverb
用,5,yòng,yong,4,benutzen,Alltag,,,1,Verb
宾馆,5,bīnguǎn,binguan,1,Hotel,Gebäude,Ort,,1,Nomen
刷卡,5,shuākǎ,shuaka,1,mit Karte zahlen,Alltag,Geld,,1,Verb
换,5,huàn,huan,4,wechseln/umtauschen,Alltag,Geld,,1,Verb
附近,5,fùjìn,fujin,4,in der Nähe,Ort,,,1,Adverb
银行,5,yínháng,yinhang,2,Bank,Gebäude,Ort,,1,Nomen
行,5,háng,hang,2,Branche/Zeile,Alltag,,,1,Nomen
对面,5,duìmiàn,duimian,4,gegenüber,Ort,,,1,Nomen
自动取款机,5,zìdòng qǔkuǎnjī,zidong qukuanji,4,Geldautomat,Gebäude,Ort,Geld,1,Nomen
取,5,qǔ,qu,3,abheben,Alltag,Geld,,1,Verb
去,5,qù,qu,4,gehen,Alltag,,,1,Verb
餐馆,6,cānguǎn,canguan,1,Restaurant,Gebäude,Ort,Alltag,1,Nomen
吃饭,6,chīfàn,chifan,1,essen,Alltag,,,1,Verb
吃,6,chī,chi,1,essen,Alltag,,,1,Verb
饭,6,fàn,fan,4,Mahlzeit/Reis,Alltag,Essen,,1,Nomen
喜欢,6,xǐhuan,xihuan,3,mögen,Alltag,,,1,Verb
告诉,6,gàosu,gaosu,4,mitteilen,Alltag,,,1,Verb
欢迎光临,6,huānyíng guānglín,huanying guanglin,2,willkommen heißen,Ausdruck,Alltag,,1,Ausdruck
位,6,wèi,wei,4,ZEW für Personen,Zähleinheitwörter (ZEW),Person,,1,ZEW
喝,6,hē,he,1,trinken,Alltag,Essen,,1,Verb
坐,6,zuò,zuo,4,sitzen,Alltag,,,1,Verb
饮料,6,yǐnliào,yinliao,3,Getränk,Alltag,Essen,,1,Nomen
矿泉水,6,kuàngquánshuǐ,kuangquanshui,4,Mineralwasser,Alltag,Essen,,1,Nomen
水,6,shuǐ,shui,3,Wasser,Alltag,Essen,,1,Nomen
苹果,6,píngguǒ,pingguo,2,Apfel,Alltag,Essen,,1,Nomen
苹果汁,6,píngguǒzhī,pingguozhi,2,Apfelsaft,Alltag,Essen,,1,Nomen
汁,6,zhī,zhi,1,Saft,Alltag,Essen,,1,Nomen
服务员,6,fúwùyuán,fuwuyuan,2,Kellner/in,Beruf,Alltag,,1,Nomen
绿茶,6,lǜchá,lucha,4,Grüntee,Alltag,Essen,,1,Nomen
绿,6,lǜ,lu,4,grün,Alltag,Farbe,,1,Adjektiv
茶,6,chá,cha,2,Tee,Alltag,Essen,,1,Nomen
啤酒,6,píjiǔ,pijiu,2,Bier,Alltag,Essen,,1,Nomen
瓶,6,píng,ping,2,Flasche,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
杯,6,bēi,bei,1,Tasse/Becher,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
杯子,6,bēizi,beizi,1,Tasse,Alltag,,,1,Nomen
壶,6,hú,hu,2,Kanne,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
菜单,6,càidān,caidan,4,Speisekarte,Alltag,Essen,,1,Nomen
马上,6,mǎshàng,mashang,3,sofort,Alltag,,,1,Adverb
点菜,6,diǎncài,diancai,3,Gericht bestellen,Alltag,Essen,,1,Verb
点,6,diǎn,dian,3,Bestellen/Punkt,Alltag,,,1,Verb
蔬菜,6,shūcài,shucai,1,Gemüse,Alltag,Essen,,1,Nomen
春卷,6,chūnjuǎn,chunjuan,1,Frühlingsrolle,Alltag,Essen,,1,Nomen
肉,6,ròu,rou,4,Fleisch,Alltag,Essen,,1,Nomen
李,6,Lǐ,li,3,Li (Nachname),Name,,,1,Name
给,6,gěi,gei,3,geben,Alltag,,,1,Verb
家,6,jiā,jia,1,Haus/Wohnung,Gebäude,Alltag,,1,Nomen
烤鸭,6,kǎoyā,kaoya,3,Peking-Ente,Alltag,Essen,,1,Nomen
鱼,6,yú,yu,2,Fisch,Alltag,Tier,,1,Nomen
炒,6,chǎo,chao,3,braten (pfannenrühren),Alltag,Essen,,1,Verb
牛,6,niú,niu,2,Kuh/Rind,Tier,Alltag,,1,Nomen
牛肉,6,niúròu,niurou,2,Rindfleisch,Alltag,Essen,,1,Nomen
份,6,fèn,fen,4,Portion,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
碗,6,wǎn,wan,3,Schüssel,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
酸,6,suān,suan,1,sauer,Alltag,Essen,,1,Adjektiv
辣,6,là,la,4,scharf,Alltag,Essen,,1,Adjektiv
汤,6,tāng,tang,1,Suppe,Alltag,Essen,,1,Nomen
筷子,6,kuàizi,kuaizi,4,Essstäbchen,Alltag,Essen,,1,Nomen
米,6,mǐ,mi,3,Reis (roh),Alltag,Essen,,1,Nomen
米饭,6,mǐfàn,mifan,3,gekochter Reis,Alltag,Essen,,1,Nomen
怎么,6,zěnme,zenme,3,wie,Alltag,,,1,Fragewort
怎么样,6,zěnmeyàng,zenmeyang,3,wie ist …?,Alltag,,,1,Fragewort
菜,6,cài,cai,4,Gemüse/Gericht,Alltag,Essen,,1,Nomen
慢,6,màn,man,4,langsam,Alltag,,,1,Adjektiv
干杯,6,gānbēi,ganbei,1,Prost!,Ausdruck,Alltag,,1,Ausdruck
买单,6,mǎidān,maidan,3,die Rechnung bezahlen,Alltag,Essen,,1,Verb
家,7,jiā,jia,1,Zuhause/Haus,Gebäude,Alltag,,1,Nomen
父亲,7,fùqīn,fuqin,4,Vater,Person,Familie,,1,Nomen
母亲,7,mǔqīn,muqin,3,Mutter,Person,Familie,,1,Nomen
丈夫,7,zhàngfu,zhangfu,4,Ehemann,Person,Familie,,1,Nomen
妻子,7,qīzi,qizi,1,Ehefrau,Person,Familie,,1,Nomen
经理,7,jīnglǐ,jingli,1,Manager,Beruf,Alltag,,1,Nomen
儿子,7,érzi,erzi,2,Sohn,Person,Familie,,1,Nomen
哥哥,7,gēge,gege,1,älterer Bruder,Person,Familie,,1,Nomen
弟弟,7,dìdi,didi,4,jüngerer Bruder,Person,Familie,,1,Nomen
姐姐,7,jiějie,jiejie,3,ältere Schwester,Person,Familie,,1,Nomen
妹妹,7,mèimei,meimei,4,jüngere Schwester,Person,Familie,,1,Nomen
口,7,kǒu,kou,3,ZEW für Familienmitglieder,Zähleinheitwörter (ZEW),Person,,1,ZEW
已经,7,yǐjīng,yijing,3,bereits,Alltag,,,1,Adverb
退休,7,tuìxiū,tuixiu,4,in Rente gehen,Alltag,,,1,Verb
大,7,dà,da,4,groß,Alltag,,,1,Adjektiv
小,7,xiǎo,xiao,3,klein,Alltag,,,1,Adjektiv
结婚,7,jiéhūn,jiehun,2,heiraten,Alltag,,,1,Verb
孩子,7,háizi,haizi,2,Kind,Person,Familie,,1,Nomen
只,7,zhī,zhi,1,ZEW für viele Tiere,Zähleinheitwörter (ZEW),Tier,,1,ZEW
狗,7,gǒu,gou,3,Hund,Tier,Alltag,,1,Nomen
猫,7,māo,mao,1,Katze,Tier,Alltag,,1,Nomen
它,7,tā,ta,1,es (sächlich),Alltag,,,1,Pronomen
都,7,dōu,dou,1,alle,Alltag,,,1,Adverb
常常,7,chángcháng,changchang,2,oft,Alltag,,,1,Adverb
晚,7,wǎn,wan,3,spät,Alltag,,,1,Adjektiv
爱,7,ài,ai,4,lieben,Alltag,,,1,Verb
想,7,xiǎng,xiang,3,denken/wollen,Alltag,,,1,Verb
爸爸,7,bàba,baba,4,Papa,Person,Familie,,1,Nomen
妈妈,7,māma,mama,1,Mama,Person,Familie,,1,Nomen
做,7,zuò,zuo,4,machen,Alltag,,,1,Verb
今年,7,jīnnián,jinnian,1,dieses Jahr,Zeit,,,1,Nomen
多大,7,duō dà,duo da,1,wie alt,Zeit,Frage,,1,Fragewort
岁,7,suì,sui,4,Jahre alt,Zähleinheitwörter (ZEW),Zeit,,1,Nomen
兄弟,7,xiōngdì,xiongdi,1,Brüder,Person,Familie,,1,Nomen
姐妹,7,jiěmèi,jiemei,3,Schwestern,Person,Familie,,1,Nomen
学校,7,xuéxiào,xuexiao,2,Schule,Gebäude,Ort,Schule,1,Nomen
