zeichen,kapitel,aussprache,aussprache_ohne_ton,ton,bedeutung,kategorie 1,kategorie 2,kategorie 3,HSK,grammatik
生活,7,shēnghuó,shenghuo,1,Leben,Alltag,,,1,Nomen
得,7,de,de,5,müssen/Partikel,Alltag,,,1,Partikel
真,7,zhēn,zhen,1,wirklich,Alltag,,,1,Adverb
向,7,xiàng,xiang,4,in Richtung,Alltag,,,1,Präposition
问好,7,wènhǎo,wenhao,4,Grüße ausrichten,Alltag,,,1,Verb
酒吧,8,jiǔbā,jiuba,3,Bar,Kneipe,Ort,Alltag,1,Nomen
离,8,lí,li,2,entfernt sein von,Alltag,,,1,Präposition
车,8,chē,che,1,Fahrzeug,Zahl,Alltag,,1,Nomen
汽车,8,qìchē,qiche,4,Auto,Fahrzeug,Alltag,,1,Nomen
开,8,kāi,kai,1,fahren/öffnen,Alltag,,,1,Verb
或者,8,huòzhě,huozhe,4,oder (Aussagesatz),Alltag,,,1,Konjunktion
骑,8,qí,qi,2,reiten/fahren (Rad),,Alltag,,1,Verb
自行车,8,zìxíngchē,zixingche,4,Fahrrad,Fahrzeug,Alltag,,1,Nomen
公交车,8,gōngjiāochē,gongjiaoche,1,Bus,Fahrzeug,Alltag,,1,Nomen
多,8,duō,duo,1,viel,Alltag,,,1,Adjektiv
太多了,8,tài duō le,tai duo le,4,zu viel,Alltag,,,1,Ausdruck
那么,8,nàme,name,4,so/dann,Alltag,,,1,Adverb
走,8,zǒu,zou,3,gehen,Alltag,,,1,Verb
走路,8,zǒulù,zoulu,3,zu Fuß gehen,Alltag,,,1,Verb
出租车,8,chūzūchē,chuzuche,1,Taxi,Fahrzeug,Alltag,,1,Nomen
出租车打的,8,chūzūchē dǎdí,chuzuche dadi,1,Taxi nehmen,Alltag,,,1,Verb
回,8,huí,hui,2,zurückkehren,Alltag,,,1,Verb
公共,8,gōnggòng,gonggong,1,öffentlich,Alltag,,,1,Adjektiv
厕所,8,cèsuǒ,cesuo,4,Toilette,Gebäude,Ort,Alltag,1,Nomen
问,8,wèn,wen,4,fragen,Alltag,,,1,Verb
后,8,hòu,hou,4,danach/hinten,Zeit,,,1,Nomen
后面,8,hòumiàn,houmian,4,hinten,Ort,Alltag,,1,Nomen
小姐,8,xiǎojiě,xiaojie,3,Fräulein,Person,Alltag,,1,Nomen
近,8,jìn,jin,4,nah,Alltag,,,1,Adjektiv
往,8,wǎng,wang,3,nach (Richtung),Alltag,,,1,Präposition
前,8,qián,qian,2,vorne,Ort,Zeit,,1,Nomen
前面,8,qiánmiàn,qianmian,2,vorn,Ort,Alltag,,1,Nomen
面,8,miàn,mian,4,Fläche,Seite,Alltag,,1,Nomen
第,8,dì,di,4,ZEW für Ordnungszahlen,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
路口,8,lùkǒu,lukou,4,Kreuzung,Ort,Alltag,,1,Nomen
右,8,yòu,you,4,rechts,Alltag,,,1,Nomen
右边,8,yòubiān,youbian,4,rechte Seite,Ort,Alltag,,1,Nomen
左,8,zuǒ,zuo,3,links,Alltag,,,1,Nomen
左边,8,zuǒbiān,zuobian,3,linke Seite,Ort,Alltag,,1,Nomen
拐,8,guǎi,guai,3,abbiegen,Alltag,,,1,Verb
就,8,jiù,jiu,4,sofort/eben,Alltag,,,1,Adverb
地铁,8,dìtiě,ditie,4,U-Bahn,Fahrzeug,Ort,,1,Nomen
线,8,xiàn,xian,4,Linie,Alltag,,,1,Nomen
路,8,lù,lu,4,Straße,Ort,Alltag,,1,Nomen
站,8,zhàn,zhan,4,Haltestelle,Ort,Alltag,,1,Nomen
西,8,xī,xi,1,Westen,Richtung,Alltag,,1,Nomen
东,8,dōng,dong,1,Osten,Richtung,Alltag,,1,Nomen
上车,8,shàngchē,shangche,4,einsteigen,Alltag,,,1,Verb
下车,8,xiàchē,xiache,4,aussteigen,Alltag,,,1,Verb
到,8,dào,dao,4,ankommen,Alltag,,,1,Verb
外,8,wài,wai,4,außen,Alltag,,,1,Nomen
外面,8,wàimiàn,waimian,4,draußen,Ort,Alltag,,1,Nomen
旁边,8,pángbiān,pangbian,2,Neben,Ort,Alltag,,1,Nomen
穿,9,chuān,chuan,1,tragen (Kleidung),Alltag,,,1,Verb
着,9,zhe,zhe,5,Partikel (fortlaufende Handlung),Alltag,,,1,Partikel
毛衣,9,máoyī,maoyi,2,Pullover,Alltag,Kleidung,,1,Nomen
牛仔裤,9,niúzǎikù,niuzaiku,2,Jeans,Alltag,Kleidung,,1,Nomen
鞋子,9,xiézi,xiezi,2,Schuhe,Alltag,Kleidung,,1,Nomen
T恤,9,T-xù,t-xu,4,T-Shirt,Alltag,Kleidung,,1,Nomen
裙子,9,qúnzi,qunzi,2,Rock,Alltag,Kleidung,,1,Nomen
衬衫,9,chènshān,chenshan,4,Hemd,Alltag,Kleidung,,1,Nomen
上衣,9,shàngyī,shangyi,4,Oberteil,Alltag,Kleidung,,1,Nomen
条,9,tiáo,tiao,2,ZEW für lange schmale Dinge (z. B. Hose/Kleid),Zähleinheitwörter (ZEW),Alltag,,1,ZEW
件,9,jiàn,jian,4,ZEW für Oberbekleidung,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
衣服,9,yīfu,yifu,1,Kleidung,Alltag,Kleidung,,1,Nomen
买,9,mǎi,mai,3,kaufen,Alltag,,,1,Verb
种,9,zhǒng,zhong,3,Art/Sorte,Alltag,,,1,Nomen
颜色,9,yánsè,yanse,2,Farbe,Alltag,,,1,Nomen
黑色,9,hēisè,heise,1,schwarz,Alltag,Farbe,,1,Nomen
红色,9,hóngsè,hongse,2,rot,Alltag,Farbe,,1,Nomen
白色,9,báisè,baise,2,weiß,Alltag,Farbe,,1,Nomen
蓝色,9,lánsè,lanse,2,blau,Alltag,Farbe,,1,Nomen
绿色,9,lǜsè,lüse,4,grün,Alltag,Farbe,,1,Nomen
要,9,yào,yao,4,kosten/verkaufen wollen,Alltag,Geld,,1,Verb
试一试,9,shì yī shì,shi yi shi,4,anprobieren,Alltag,Kleidung,,1,Verb
合适,9,héshì,heshi,2,passend,Alltag,Kleidung,,1,Adjektiv
太,9,tài,tai,4,sehr/zu,Alltag,,,1,Adverb
公斤,9,gōngjīn,gongjin,1,Kilogramm,Zähleinheitwörter (ZEW),Alltag,,1,Nomen
近,9,jìn,jin,4,nah,Alltag,,,1,Adjektiv
两,9,liǎng,liang,3,zwei (vor ZEW),Zahl,Zähleinheitwörter (ZEW),,1,Zahlwort
克,9,kè,ke,4,Gramm,Zähleinheitwörter (ZEW),Alltag,,1,Nomen
售货员,9,shòuhuòyuán,shouhuoyuan,4,Verkäufer,Person,Beruf,,1,Nomen
西红柿,9,xīhóngshì,xihongshi,1,Tomate,Alltag,Lebensmittel,,1,Nomen
黄瓜,9,huángguā,huanggua,2,Gurke,Alltag,Lebensmittel,,1,Nomen
青椒,9,qīngjiāo,qingjiao,1,grüne Paprika,Alltag,Lebensmittel,,1,Nomen
苹果,9,píngguǒ,pingguo,2,Apfel,Alltag,Lebensmittel,,1,Nomen
葡萄,9,pútao,putao,2,Traube,Alltag,Lebensmittel,,1,Nomen
鸡蛋,9,jīdàn,jidan,1,Ei,Alltag,Lebensmittel,,1,Nomen
牛奶,9,niúnǎi,niunai,2,Milch,Alltag,Lebensmittel,,1,Nomen
奶,9,nǎi,nai,3,Milch,Alltag,Lebensmittel,,1,Nomen
找,9,zhǎo,zhao,3,suchen/nach Geld herausgeben,Alltag,,,1,Verb
水果,9,shuǐguǒ,shuiguo,3,Obst,Alltag,Lebensmittel,,1,Nomen
商店,9,shāngdiàn,shangdian,1,Geschäft,Alltag,Gebäude,,1,Nomen
店,9,diàn,dian,4,Laden,Alltag,Gebäude,,1,Nomen
些,9,xiē,xie,1,einige,Alltag,,,1,ZEW
东西,9,dōngxi,dongxi,1,Ding/Sache,Alltag,,,1,Nomen
上课,10,shàngkè,shangke,4,Unterricht haben,Schule,Alltag,,1,Verb
课,10,kè,ke,4,Unterricht,Schule,Alltag,,1,Nomen
课文,10,kèwén,kewen,4,Text im Lehrbuch,Schule,Alltag,,1,Nomen
问题,10,wèntí,wenti,4,Frage,Schule,Alltag,,1,Nomen
回答,10,huídá,huida,2,antworten,Schule,Alltag,,1,Verb
大家,10,dàjiā,dajia,4,alle (Leute),Alltag,Person,,1,Pronomen
句,10,jù,ju,4,ZEW für Sätze,Zähleinheitwörter (ZEW),Sprache,,1,ZEW
话,10,huà,hua,4,Wort/Aussage,Alltag,Sprache,,1,Nomen
意思,10,yìsi,yisi,4,Bedeutung,Alltag,Sprache,,1,Nomen
教,10,jiāo,jiao,1,unterrichten,Schule,Alltag,,1,Verb
写,10,xiě,xie,3,schreiben,Schule,Alltag,,1,Verb
汉字,10,hànzì,hanzi,4,chinesisches Schriftzeichen,Schule,Sprache,,1,Nomen
尊敬,10,zūnjìng,zunjing,1,respektieren,Alltag,,,1,Verb
每,10,měi,mei,3,jede/r/s,Alltag,,,1,Pronomen
教室,10,jiàoshì,jiaoshi,4,Klassenzimmer,Schule,Gebäude,,1,Nomen
听,10,tīng,ting,1,hören,Alltag,,,1,Verb
完,10,wán,wan,2,beenden,Alltag,,,1,Verb
讲,10,jiǎng,jiang,3,erklären,Alltag,Schule,,1,Verb
语法,10,yǔfǎ,yufa,3,Grammatik,Schule,Sprache,,1,Nomen
练习,10,liànxí,lianxi,4,Übung,Schule,Alltag,,1,Nomen
练,10,liàn,lian,4,üben,Schule,Alltag,,1,Verb
发音,10,fāyīn,fayin,1,Aussprache,Schule,Sprache,,1,Nomen
记,10,jì,ji,4,sich merken,Alltag,Schule,,1,Verb
新,10,xīn,xin,1,neu,Alltag,,,1,Adjektiv
生词,10,shēngcí,shengci,1,Vokabel,Schule,Sprache,,1,Nomen
题,10,tí,ti,2,Aufgabe/Frage,Schule,Alltag,,1,Nomen
小时,10,xiǎoshí,xiaoshi,3,Stunde,Zeit,Alltag,,1,Nomen
考试,10,kǎoshì,kaoshi,3,Prüfung,Schule,Alltag,,1,Nomen
成绩,10,chéngjì,chengji,2,Note,Schule,Alltag,,1,Nomen
不错,10,búcuò,bucuo,2,nicht schlecht,Alltag,,,1,Adjektiv
错,10,cuò,cuo,4,falsch,Alltag,,,1,Adjektiv
长,10,cháng,chang,2,lang,Alltag,,,1,Adjektiv
为什么,10,wèishénme,weishenme,4,warum,Alltag,Frage,,1,Fragewort
觉得,10,juéde,juede,2,finden/fühlen,Alltag,,,1,Verb
难,10,nán,nan,2,schwierig,Alltag,,,1,Adjektiv
比较,10,bǐjiào,bijiao,3,vergleichen,Alltag,,,1,Verb
容易,10,róngyì,rongyi,2,leicht,Alltag,,,1,Adjektiv
懂,10,dǒng,dong,3,verstehen,Alltag,,,1,Verb
如果,10,rúguǒ,ruguo,2,wenn,Alltag,,,1,Konjunktion
普通话,10,pǔtōnghuà,putonghua,3,Hochchinesisch,Schule,Sprache,,1,Nomen
唱歌,11,chànggē,changge,4,singen,Alltag,Freizeit,,1,Verb
跳舞,11,tiàowǔ,tiaowu,4,tanzen,Alltag,Freizeit,,1,Verb
音乐,11,yīnyuè,yinyue,1,Musik,Alltag,Freizeit,,1,Nomen
书,11,shū,shu,1,Buch,Alltag,,,1,Nomen
电视,11,diànshì,dianshi,4,Fernsehen,Alltag,,,1,Nomen
功夫,11,gōngfu,gongfu,1,Kung-Fu,Alltag,Sport,,1,Nomen
游泳,11,yóuyǒng,youyong,2,schwimmen,Alltag,Sport,,1,Verb
散步,11,sànbù,sanbu,4,spazieren gehen,Alltag,Freizeit,,1,Verb
跑步,11,pǎobù,paobu,3,joggen/laufen,Alltag,Sport,,1,Verb
打,11,dǎ,da,3,schlagen/spielen (Ballspiele),Alltag,Sport,,1,Verb
踢,11,tī,ti,1,treten/spielen (Ballspiele),Alltag,Sport,,1,Verb
篮球,11,lánqiú,lanqiu,2,Basketball,Alltag,Sport,,1,Nomen
足球,11,zúqiú,zuqiu,2,Fußball,Alltag,Sport,,1,Nomen
乒乓球,11,pīngpāngqiú,pingpangqiu,1,Tischtennis,Alltag,Sport,,1,Nomen
太极拳,11,tàijíquán,taijiquan,4,Taichi,Alltag,Sport,,1,Nomen
高尔夫球,11,gāoěrfūqiú,gaoerfuqiu,1,Golf,Alltag,Sport,,1,Nomen
迪斯科,11,dísīkē,disike,2,Disco,Alltag,Freizeit,,1,Nomen
下课,11,xiàkè,xiake,4,Unterricht beenden,Schule,Alltag,,1,Verb
以后,11,yǐhòu,yihou,3,danach/später,Zeit,,,1,Nomen
爱好,11,àihào,aihao,4,Hobby,Alltag,Freizeit,,1,Nomen
下班,11,xiàbān,xiaban,4,Feierabend machen,Alltag,Beruf,,1,Verb
业余时间,11,yèyú shíjiān,yeyu shijian,4,Freizeit,Alltag,Freizeit,,1,Nomen
运动,11,yùndòng,yundong,4,Sport treiben,Sport,Alltag,,1,Verb
上班,11,shàngbān,shangban,4,arbeiten gehen,Alltag,Beruf,,1,Verb
次,11,cì,ci,4,Mal (ZEW für Häufigkeit),Zähleinheitwörter (ZEW),Alltag,,1,ZEW
对...感兴趣,11,duì...gǎn xìngqù,dui...ganxingqu,4,sich für … interessieren,Alltag,,,1,Verb
当然,11,dāngrán,dangran,1,natürlich,Alltag,,,1,Adverb
比赛,11,bǐsài,bisai,3,Wettkampf,Alltag,Sport,,1,Nomen
听说,11,tīngshuō,tingshuo,1,gehört haben,Alltag,,,1,Verb
还可以,11,hái kěyǐ,hai keyi,2,geht so,Alltag,,,1,Ausdruck
的时候,11,de shíhou,de shihou,5,wenn / als,Zeit,,,1,Partikel
开始,11,kāishǐ,kaishi,1,beginnen,Alltag,,,1,Verb
传统,11,chuántǒng,chuantong,2,Tradition,Alltag,,,1,Nomen
健身,11,jiànshēn,jianshen,4,Fitnesstraining machen,Alltag,Sport,,1,Verb
以前,11,yǐqián,yiqian,3,früher/vormalig,Zeit,,,1,Nomen
什么时候,11,shénme shíhou,shenme shihou,2, wann?,Alltag,Frage,,1,Fragewort
早上,11,zǎoshang,zaoshang,3,Morgen,Zeit,Alltag,,1,Nomen
亲爱,12,qīn'ài,qin'ai,1,lieb/geliebt,Alltag,Ausdruck,,1,Adjektiv
生日,12,shēngrì,shengri,1,Geburtstag,Alltag,Zeit,,1,Nomen
邀请,12,yāoqǐng,yaoqing,1,einladen,Alltag,,,1,Verb
男,12,nán,nan,2,männlich,Person,,,1,Adjektiv
参加,12,cānjiā,canjia,1,teilnehmen,Alltag,,,1,Verb
晚会,12,wǎnhuì,wanhui,3,Abendveranstaltung,Alltag,Freizeit,,1,Nomen
地点,12,dìdiǎn,didian,4,Ort,Ort,Alltag,,1,Nomen
地方,12,dìfāng,difang,4,Ort,Ort,Alltag,,1,Nomen
期待,12,qīdài,qidai,1,erwarten/freuen auf,Alltag,,,1,Verb
光临,12,guānglín,guanglin,1,beehren (höflich),Alltag,Ausdruck,,1,Verb
收到,12,shōudào,shoudao,1,erhalten,Alltag,,,1,Verb
非常,12,fēicháng,feichang,1,sehr,Alltag,,,1,Adverb
出差,12,chūchāi,chuchai,1,auf Geschäftsreise sein,Beruf,Alltag,,1,Verb
希望,12,xīwàng,xiwang,1,hoffen,Alltag,,,1,Verb
理解,12,lǐjiě,lijie,3,verstehen,Alltag,,,1,Verb
开心,12,kāixīn,kaixin,1,glücklich,Alltag,,,1,Adjektiv
祝贺,12,zhùhè,zhuhe,4,gratulieren,Alltag,,,1,Verb
祝,12,zhù,zhu,4,wünschen,Alltag,,,1,Verb
快乐,12,kuàilè,kuaile,4,fröhlich,Alltag,,,1,Adjektiv
身体,12,shēntǐ,shenti,1,Körper,Alltag,Person,,1,Nomen
健康,12,jiànkāng,jiankang,4,Gesundheit/gesund,Alltag,,,1,Nomen
之际,12,zhījì,zhiji,1,anlässlich,Zeit,,,1,Partikel
顺利,12,shùnlì,shunli,4,reibungslos,Alltag,,,1,Adjektiv
万事如意,12,wàn shì rú yì,wan shi ru yi,4,Möge alles gelingen,Ausdruck,Alltag,,1,Ausdruck
过,12,guò,guo,4,feiern/verbringen,Alltag,,,1,Verb
送,12,sòng,song,4,schenken/bringen,Alltag,,,1,Verb
礼物,12,lǐwù,liwu,3,Geschenk,Alltag,,,1,Nomen
红包,12,hóngbāo,hongbao,2,Roter Umschlag (mit Geld),Alltag,Geld,,1,Nomen
本,12,běn,ben,3,ZEW für Bücher,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
束,12,shù,shu,4,ZEW für Blumen,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
花,12,huā,hua,1,Blume,Alltag,,,1,Nomen
蛋糕,12,dàngāo,dangao,4,Kuchen/Torte,Alltag,, ,1,Nomen
最,12,zuì,zui,4,am meisten,Alltag,,,1,Adverb
张,12,zhāng,zhang,1,ZEW für flache Gegenstände,Zähleinheitwörter (ZEW),Alltag,,1,ZEW
见,12,jiàn,jian,4,sehen,Alltag,,,1,Verb
近,12,jìn,jin,4,nah,Alltag,,,1,Adjektiv
不好意思,12,bù hǎoyìsi,bu haoyisi,4,peinlich sein,Alltag,,,1,Ausdruck
椅子,12,yǐzi,yizi,3,Stuhl,Alltag,Gebäude,,1,Nomen
先...然后,12,xiān... ránhòu,xian... ranhou,1,zuerst... dann,Alltag,,,1,Ausdruck
聊天,12,liáotiān,liaotian,2,sich unterhalten,Alltag,,,1,Verb
得,12,de,de,5,müssen/Partikel,Alltag,,,1,Partikel
早,12,zǎo,zao,3,früh,Alltag,,,1,Adjektiv
又...又,12,yòu... yòu,you... you,4,sowohl... als auch,Alltag,,,1,Ausdruck
别,12,bié,bie,2,nicht (tun),Alltag,,,1,Imperativ
你好,Reise,nǐ hǎo,ni hao,3,Hallo,Alltag,Ausdruck,,0,Ausdruck
谢谢,Reise,xièxie,xiexie,4,Danke,Alltag,Ausdruck,,0,Ausdruck
不客气,Reise,bú kèqi,bu keqi,2,Keine Ursache,Alltag,Ausdruck,,0,Ausdruck
再见,Reise,zàijiàn,zaijian,4,Auf Wiedersehen,Alltag,Ausdruck,,0,Ausdruck
请,Reise,qǐng,qing,3,Bitte,Alltag,Ausdruck,,0,Verb
对不起,Reise,duìbuqǐ,duibuqi,4,Entschuldigung,Alltag,Ausdruck,,0,Ausdruck
请问,Reise,qǐngwèn,qingwen,3,Entschuldigen Sie (Frage einleiten),Alltag,Ausdruck,,0,Ausdruck
洗手间,Reise,xǐshǒujiān,xishoujian,3,Toilette,Gebäude,Ort,Alltag,0,Nomen
在哪里,Reise,zài nǎ lǐ,zai na li,4,wo … ?,Alltag,Frage,,0,Fragewort
多少钱,Reise,duōshao qián,duoshao qian,1,Wie viel kostet das?,Alltag,Geld,,0,Fragewort
我要,Reise,wǒ yào,wo yao,3,ich möchte,Alltag,,,0,Verb
我迷路了,Reise,wǒ mí lù le,wo mi lu le,3,ich habe mich verlaufen,Alltag,,,0,Ausdruck
帮助,Reise,bāngzhù,bangzhu,1,Hilfe,Alltag,,,0,Nomen
我听不懂,Reise,wǒ tīng bù dǒng,wo ting bu dong,3,ich verstehe nicht,Alltag,,,0,Ausdruck
你会说英文吗,Reise,nǐ huì shuō Yīngwén ma,ni hui shuo Yingwen ma,3,Können Sie Englisch sprechen?,Alltag,Frage,,0,Fragewort
地铁,Reise,dìtiě,ditie,4,U-Bahn,Fahrzeug,Ort,,0,Nomen
出租车,Reise,chūzūchē,chuzuche,1,Taxi,Fahrzeug,Ort,,0,Nomen
公交车,Reise,gōngjiāochē,gongjiaoche,1,Bus,Fahrzeug,Ort,,0,Nomen
站,Reise,zhàn,zhan,4,Haltestelle,Ort,Alltag,,0,Nomen
左转,Reise,zuǒ zhuǎn,zuo zhuan,3,links abbiegen,Alltag,Ort,,0,Verb
右转,Reise,yòu zhuǎn,you zhuan,4,rechts abbiegen,Alltag,Ort,,0,Verb
直走,Reise,zhí zǒu,zhi zou,2,geradeaus gehen,Alltag,Ort,,0,Verb
菜单,Reise,càidān,caidan,4,Speisekarte,Alltag,Essen,,0,Nomen
好吃,Reise,hǎochī,haochi,3,lecker,Alltag,Essen,,0,Adjektiv
不辣,Reise,bù là,bu la,4,nicht scharf,Alltag,Essen,,0,Adjektiv
买单,Reise,mǎidān,maidan,3,Rechnung bitte,Alltag,Essen,,0,Ausdruck
水,Reise,shuǐ,shui,3,Wasser,Alltag,Essen,,0,Nomen
茶,Reise,chá,cha,2,Tee,Alltag,Essen,,0,Nomen
紧急,Reise,jǐnjí,jinji,3,Notfall,Alltag,,,0,Nomen
医院,Reise,yīyuàn,yiyuan,1,Krankenhaus,Gebäude,Ort,,0,Nomen
医生,Reise,yīshēng,yisheng,1,Arzt,Person,Beruf,,0,Nomen
警察,Reise,jǐngchá,jingcha,3,Polizei,Person,Beruf,,0,Nomen
我需要帮助,Reise,wǒ xūyào bāngzhù,wo xuyao bangzhu,3,ich brauche Hilfe,Alltag,,,0,Ausdruck
